codigo_subpartida,descripcion
0305540000,"- - Arenques (Clupea harengus, Clupea pallasii), anchoas (Engraulis spp.), sardinas (Sardina pilchardus, Sardinops spp.), sardinelas (Sardinella spp.), espadines (Sprattus sprattus), caballas (Scomber scombrus, Scomber australasicus, Scomber japonicus), caballas de la India (Rastrelliger spp.), carites (Scomberomorus spp.), jureles (Trachurus spp.), pámpanos (Caranx spp.), cobias (Rachycentron canadum), palometones plateados (Pampus spp.), papardas del Pacífico (Cololabis saira), macarelas (Decapterus spp.), capelanes (Mallotus villosus), peces espada (Xiphias gladius), bacoretas orientales (Euthynnus affinis), bonitos (Sarda spp.), agujas, marlines, peces vela o picudos (Istiophoridae)"
0305590000,- - Los demás
0305610000,"- - Arenques (Clupea harengus, Clupea pallasii)"
0305620000,"- - Bacalaos (Gadus morhua, Gadus ogac, Gadus macrocephalus)"
0305630000,- - Anchoas (Engraulis spp.)
0305640000,"- - Tilapias (Oreochromis spp.), bagres o peces gato (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), anguilas (Anguilla spp.), percas del Nilo (Lates niloticus) y peces cabeza de serpiente (Channa spp.)"
0305690000,- - Los demás
0305710000,- - Aletas de tiburón
0305720000,"- - Cabezas, colas y vejigas natatorias, de pescado"
0305790000,- - Los demás
0306110000,"- - Langostas (Palinurus spp., Panulirus spp., Jasus spp.)"
0306120000,- - Bogavantes (Homarus spp.)
0306140000,- - Cangrejos (excepto macruros)
0306150000,- - Cigalas (Nephrops norvegicus)
0306160000,"- - Camarones, langostinos y demás decápodos Natantia de agua fría (Pandalus spp., Crangon crangon)"
0306171100,- - - - Enteros
0306171200,- - - - Colas sin caparazón
0306171300,"- - - - Colas con caparazón, sin cocer en agua o vapor"
0306171400,"- - - - Colas con caparazón, cocidos en agua o vapor"
0306171900,- - - - Los demás
0306179100,- - - - Camarones de río de los géneros Macrobrachium
0306179900,- - - - Los demás
0306190000,- - Los demás
0306310000,"- - Langostas (Palinurus spp., Panulirus spp., Jasus spp.)"
0306320000,- - Bogavantes (Homarus spp.)
0306330000,- - Cangrejos (excepto macruros)
0306340000,- - Cigalas (Nephrops norvegicus)
0306350000,"- - Camarones, langostinos y demás decápodos Natantia, de agua fría (Pandalus spp., Crangon crangon)"
0306361100,- - - - Para reproducción o cría industrial
0306361910,- - - - - Frescos o refrigerados
0306361990,- - - - - Los demás
0306369100,- - - - Para reproducción o cría industrial
0306369200,- - - - Los demás camarones de río de los géneros Macrobrachium
0306369900,- - - - Los demás
0306390000,- - Los demás
0306910000,"- - Langostas (Palinurus spp., Panulirus spp., Jasus spp.)"
0306920000,- - Bogavantes (Homarus spp.)
0306930000,- - Cangrejos (excepto macruros)
0306940000,- - Cigalas (Nephrops norvegicus)
0306951000,- - - Camarones de río de los géneros Macrobrachium
0306959000,- - - Los demás
0306990000,- - Los demás
0307110000,"- - Vivas, frescas o refrigeradas"
0307120000,- - Congeladas
0307190000,- - Las demás
0307211000,- - - Vieiras (conchas de abanico) (Pecten jacobaeus)
0307219000,- - - Los demás
0307221000,- - - Vieiras (conchas de abanico) (Pecten Jacobaeus)
0307229000,- - - Los demás
0307291000,- - - Vieiras (conchas de abanico) (Pecten Jacobaeus)
0307299000,- - - Los demás
0307310000,"- - Vivos, frescos o refrigerados"
0307320000,- - Congelados
0307390000,- - Los demás
0307420000,"- - Vivos, frescos o refrigerados"
0307430000,- - Congelados
0307490000,- - Los demás
0307510000,"- - Vivos, frescos o refrigerados"
0307520000,- - Congelados
0307590000,- - Los demás
0307600000,"- Caracoles, excepto los de mar"
0307710000,"- - Vivos, frescos o refrigerados"
0307720000,- - Congelados
0307790000,- - Los demás
0307810000,"- - Abulones u orejas de mar (Haliotis spp.), vivos, frescos o refrigerados"
0307820000,"- - Cobos (caracoles de mar) (Strombus spp.), vivos, frescos o refrigerados"
0307830000,"- - Abulones u orejas de mar (Haliotis spp.), congelados"
0307840000,"- - Cobos (caracoles de mar) (Strombus spp.), congelados"
0307870000,- - Los demás abulones u orejas de mar (Haliotis spp.)
0307880000,- - Los demás cobos (caracoles de mar) (Strombus spp.)
0307910000,"- - Vivos, frescos o refrigerados"
0307921000,"- - - Locos (chanque, caracoles de mar) (Concholepas concholepas)"
0307922000,- - - Lapas
0307929010,- - - - Machas
0307929090,- - - - Los demás
0307992000,"- - - Locos (chanque, caracoles de mar) (Concholepas concholepas)"
0307995000,- - - Lapas
0307999010,- - - - Machas
0307999090,- - - - Los demás
0308110000,"- - Vivos, frescos o refrigerados"
0308120000,- - Congelados
0308190000,- - Los demás
0308210000,"- - Vivos, frescos o refrigerados"
0308220000,- - Congelados
0308290000,- - Los demás
0308300000,- Medusas (Rhopilema spp.)
0308900000,- Los demás
0309100000,- De pescado
0309901000,- - De crustáceos
0309909000,- - Los demás
0401100000,- Con un contenido de materias grasas inferior o igual al 1 % en peso
0401200000,"- Con un contenido de materias grasas superior al 1 % pero inferior o igual al 6 %, en peso"
0401400000,"- Con un contenido de materias grasas superior al 6 % pero inferior o igual al 10 %, en peso"
0401500000,- Con un contenido de materias grasas superior al 10 % en peso
0402101000,"- - En envases de contenido neto inferior o igual a 2,5 kg"
0402109000,- - Los demás
0402211100,"- - - - En envases de contenido neto inferior o igual a 2,5 kg"
0402211900,- - - - Las demás
0402219100,"- - - - En envases de contenido neto inferior o igual a 2,5 kg"
0402219900,- - - - Las demás
0402291100,"- - - - En envases de contenido neto inferior o igual a 2,5 kg"
0402291900,- - - - Las demás
0402299100,"- - - - En envases de contenido neto inferior o igual a 2,5 kg"
0402299900,- - - - Las demás
0402911000,- - - Leche evaporada
0402919000,- - - Las demás
0402991000,- - - Leche condensada
0402999000,- - - Las demás
0403200010,"- - Aromatizados o con frutas u otros frutos o cacao, incluso con adición de azúcar u otro edulcorante"
0403200090,- - Los demás
0403901000,- - Suero de mantequilla
0403909010,"- - - Aromatizados o con frutas u otros frutos o cacao, incluso con adición de azúcar u otro edulcorante"
0403909090,- - - Los demás
0404101000,- - Lactosuero parcial o totalmente desmineralizado
0404109000,- - Los demás
0404900000,- Los demás
0405100000,- Mantequilla (manteca)
0405200000,- Pastas lácteas para untar
0405902000,- - Grasa láctea anhidra («butteroil»)
0405909000,- - Las demás
0406100000,"- Queso fresco (sin madurar), incluido el del lactosuero, y requesón"
0406200000,"- Queso de cualquier tipo, rallado o en polvo"
0406300000,"- Queso fundido, excepto el rallado o en polvo"
0406400000,- Queso de pasta azul y demás quesos que presenten vetas producidas por Penicillium roqueforti
0406904000,"- - Con un contenido de humedad inferior al 50 % en peso, calculado sobre una base totalmente desgrasada"
